"FECHA DE APERTURA","DIA DE APERTURA","FECHA OCURRENCIA HECHOS","DIA OCURRENCIA","HORA MILITAR OCURRENCIA HECHOS","CONFORMAN UNIDAD DOMESTICA S/N","FISICA","VERBAL","ECONOMICA","PSICOLOGICA","SEXUAL","GENERO M/F VICTIMA","EDAD
VICTIMA","VICTIMA CONFLICTO ARMADO","ETNIA
VICTIMA","ESCOLARIDAD
VICTIMA","INSTUTUCION EDUCATIVA O COLEGIO","CONSUMO SUSTANCIAS PSICOACTIVAS","CORREGIMIENTO VICTIMA","COMUNA DE LA VICTIMA","BARRIO VICTIMA","TIPO VIVIENDA VICTIMA","GENERO AGRESOR M/F","PARENTESCO FRENTE A LA VICTIMA","NUMERO DE HIJOS
AGRESOR","EDAD AGRESOR","ESTADO CIVIL AGRESOR","ESCOLARIDAD AGRESOR","OCUPACION
AGRESOR","CORREGIMIENTO
AGRESOR","COMUNA AGRESOR","BARRIO AGRESOR","TIPO VIVIENDA
AGRESOR"
"2022-03-20T00:00:00.000","domingo","2022-03-11T00:00:00.000","viernes","no aplica","si","si","si","no","si","no","femenino","5","no","no aplica","9no bachillerato","i.e.maria antonia penagos","no","ninguno","comuna7","chapinero","no aplica","femenino","abuela","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","chapinero","no aplica"
"2022-03-23T00:00:00.000","miercoles","no aplica","no aplica","no aplica","no","si","si","no","si","no","masculino","3","no aplica","no aplica","no registro","no registro","no","ninguno","no aplica","no aplica","no aplica","masculino","padre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","no aplica","no aplica","no aplica"
"2022-03-25T00:00:00.000","viernes","no aplica","no aplica","no aplica","si","no","si","no","si","no","femenino","10","no","no","6to bachiller","i.e. domingo irurita","no","ninguno","comuna7","barrio nuevo","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","barrio nuevo","no aplica"
"2022-03-17T00:00:00.000","jueves","no aplica","no aplica","no aplica","si","si","si","no","si","no","femenino","1","no aplica","no aplica","no aplica","no aplica","no","ninguno","comuna7","barrio nuevo","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","barrio nuevo","no aplica"
"2022-03-28T00:00:00.000","lunes","no aplica","no aplica","no aplica","si","no","si","no","si","no","masculino","15","no","no","8vo bachillerato","i.e. fray luis amigo","no","ninguno","comuna3","urb. santa ana","no aplica","masculino","padre","1","15","no aplica","bachiller","operario","ninguno","comuna 4","jorge eliecer gaitan","no aplica"
"2022-03-30T00:00:00.000","miercoles","NO APLICA","no aplica","NO APLICA","no","si","si","no","si","no","masculino","6","no aplica","no aplica","no aplica","NO APLICA","no","ninguno","comuna7","no aplica","no aplica","masculino","padre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 7","parques de la italia","NO APLICA"
"2022-03-31T00:00:00.000","jueves","NO APLICA","no aplica","NO APLICA","si","si","si","no","si","no","femenino","8","no","ninguno","4to primaria","I.e. liceo femenino","no","ninguno","comuna5","urb. Palmeras del oriente","no aplica","femenino","madre","2","no aplica","casada","no aplica","estudiante","ninguno","comuna 5","urb. palmeras del oriente","ALQUILADA"
"2022-03-01T00:00:00.000","martes","2022-02-25T00:00:00.000","viernes","7:00 a.m.","si","no","si","no","si","si","femenino","2","no","ninguno","primaria incompleta","NO","no","ninguno","comuna1","bosques del eden","no aplica","masculino","tio(a)","1","46","soltero(a)","primaria incompleta","independiente","ninguno","comuna 1","bosques del eden","ALQUILADA"
"2022-03-01T00:00:00.000","martes","2022-03-01T00:00:00.000","martes","7:00 a.m.","si","no","si","no","si","no","femenino","17","no","ninguno","bachiller completo","NO","no","ninguno","comuna1","urb. Los caimitos","no aplica","masculino","padre","1","45","soltero(a)","bachiller completo","independiente","ninguno","comuna 1","urb. Los caimitos","PROPIA"
"2022-05-13T00:00:00.000","viernes","NO APLICA","no aplica","NO APLICA","no","no","si","no","si","no","femenino","13","no aplica","no aplica","5to primaria","I.e. mercedes abrego","no","ninguno","comuna7","CHAPINERO","no aplica","femenino","madre","no aplica","no aplica","no aplica","no aplica","no aplica","ninguno","comuna 5","prados de oriente","NO APLICA"
