FECHA DE APERTURA,DIA DE APERTURA,FISICA,VERBAL,ECONOMICA,PSICOLOGICA,SEXUAL,GENERO M/F VICTIMA,EDAD_VICTIMA_NUM,GENERO AGRESOR M/F,EDAD_AGRESOR_NUM,PARENTESCO FRENTE A LA VICTIMA,COMUNA DE LA VICTIMA,TOTAL_ABUSE_TYPES,IS_INTRAFAMILIAL,IS_MULTIDIMENSIONAL,HAS_PSYCHOLOGICAL,SEVERITY_LEVEL
2022-05-28T00:00:00.000,sabado,si,si,no,si,no,femenino,5.0,femenino,21.0,madre,comuna1,3,True,True,True,High
2022-05-28T00:00:00.000,sabado,si,si,no,si,no,masculino,10.0,femenino,26.0,madre,comuna1,3,True,True,True,High
2022-05-28T00:00:00.000,sabado,si,si,no,si,no,masculino,9.0,femenino,26.0,madre,comuna1,3,True,True,True,High
2022-05-28T00:00:00.000,sabado,si,si,no,si,no,femenino,16.0,femenino,30.0,madre,comuna2,3,True,True,True,High
2022-05-03T00:00:00.000,martes,si,si,no,si,no,masculino,17.0,femenino,,madre,comuna6,3,True,True,True,High
2022-05-03T00:00:00.000,martes,si,si,no,si,no,masculino,14.0,femenino,,madre,comuna6,3,True,True,True,High
2022-05-03T00:00:00.000,martes,no,no,no,si,no,femenino,11.0,femenino,,madre,comuna5,1,True,False,True,Low
2022-05-04T00:00:00.000,miercoles,no,no,no,si,no,masculino,10.0,femenino,,madre,comuna7,1,True,False,True,Low
2022-05-09T00:00:00.000,lunes,si,si,no,si,no,masculino,8.0,femenino,,madre,comuna4,3,True,True,True,High
2022-05-16T00:00:00.000,lunes,si,si,no,si,no,femenino,10.0,femenino,,madre,comuna4,3,True,True,True,High
2022-05-18T00:00:00.000,miercoles,si,si,no,si,no,femenino,10.0,femenino,,madre,comuna3,3,True,True,True,High
2022-05-31T00:00:00.000,martes,si,si,no,si,no,masculino,9.0,femenino,,tio(a),comuna6,3,False,True,True,High
2022-05-12T00:00:00.000,jueves,si,si,no,si,no,femenino,15.0,femenino,,madre,comuna7,3,True,True,True,High
2022-05-25T00:00:00.000,miercoles,si,si,no,si,no,femenino,12.0,femenino,,hermano(a),comuna7,3,False,True,True,High
2022-05-31T00:00:00.000,martes,si,si,no,si,no,masculino,14.0,femenino,,madre,comuna3,3,True,True,True,High
2022-05-31T00:00:00.000,martes,si,si,no,si,no,masculino,12.0,femenino,,madre,comuna3,3,True,True,True,High
2022-05-20T00:00:00.000,lunes,no,no,no,si,si,femenino,13.0,masculino,66.0,no aplica,comuna3,2,False,True,True,Medium
2022-05-19T00:00:00.000,domingo,si,si,no,si,no,masculino,8.0,masculino,52.0,tio(a),comuna 13,3,False,True,True,High
2022-05-06T00:00:00.000,viernes,si,si,no,si,no,femenino,12.0,masculino,49.0,padre,comuna 8,3,True,True,True,High
2022-05-18T00:00:00.000,jueves,no,si,no,si,no,masculino,10.0,femenino,,madre,no aplica,2,True,True,True,Medium
2022-05-11T00:00:00.000,miercoles,si,si,no,no,no,masculino,2.0,femenino,24.0,madre,comuna 8,2,True,True,False,Medium
2022-05-11T00:00:00.000,miercoles,no,si,no,si,no,masculino,13.0,femenino,36.0,madre,comuna 9,2,True,True,True,Medium
2022-05-16T00:00:00.000,lunes,si,si,no,si,no,femenino,12.0,femenino,55.0,abuela,comuna 8,3,False,True,True,High
